,T2M,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN
2020-07-14,37.01,14.06,0.0,1.96,26.78
2020-07-15,37.97,14.24,0.0,2.21,26.86
2020-07-16,36.98,14.07,0.0,3.06,26.71
2020-07-17,36.78,11.58,0.0,3.41,27.88
2020-07-18,36.53,9.54,0.0,4.56,27.74
2020-07-19,37.11,15.12,0.0,2.68,24.95
2020-07-20,38.7,16.27,0.0,3.69,25.85
2020-07-21,38.07,9.0,0.0,5.44,27.0
2020-07-22,37.53,12.77,0.0,3.41,26.77
2020-07-23,37.26,27.69,0.07,3.68,22.02
2020-07-24,37.19,21.35,0.0,2.55,26.67
2020-07-25,36.69,24.38,0.0,3.36,25.36
2020-07-26,36.23,25.96,0.0,3.43,27.78
2020-07-27,37.34,20.95,0.0,2.44,24.48
2020-07-28,38.83,17.99,0.0,2.6,26.72
2020-07-29,38.16,20.1,0.0,2.16,26.29
2020-07-30,39.01,16.3,0.0,2.25,25.93
2020-07-31,39.91,14.85,0.0,3.28,25.41
2020-08-01,39.77,14.01,0.0,2.4,25.62
2020-08-02,39.34,15.24,0.0,1.85,21.69
2020-08-03,38.21,15.19,0.0,4.07,26.56
2020-08-04,36.69,11.87,0.0,3.54,28.44
2020-08-05,35.7,11.95,0.0,3.96,28.07
2020-08-06,34.84,12.19,0.0,4.69,27.73
2020-08-07,35.52,16.97,0.0,4.18,25.63
2020-08-08,36.13,15.19,0.0,4.0,27.02
2020-08-09,35.77,14.07,0.0,3.47,23.55
2020-08-10,35.23,11.35,0.0,4.69,26.74
2020-08-11,33.26,13.24,0.0,4.54,27.91
2020-08-12,33.41,14.35,0.0,2.63,27.83
2020-08-13,34.38,13.34,0.0,3.34,28.18
2020-08-14,35.11,14.94,0.0,4.36,27.15
2020-08-15,35.29,16.32,0.0,4.31,27.21
2020-08-16,35.52,15.69,0.0,2.81,26.71
2020-08-17,35.64,14.79,0.0,4.12,25.71
2020-08-18,33.59,11.32,0.0,3.68,27.28
2020-08-19,33.38,9.62,0.0,2.76,27.17
2020-08-20,34.5,10.53,0.0,3.14,27.69
2020-08-21,35.74,12.72,0.0,2.88,27.37
2020-08-22,36.66,12.41,0.0,2.44,25.66
2020-08-23,37.36,12.24,0.0,3.42,26.28
2020-08-24,37.48,13.38,0.0,2.72,26.13
2020-08-25,35.63,18.1,0.0,2.42,26.26
2020-08-26,35.0,16.32,0.0,2.67,25.18
2020-08-27,34.3,15.94,0.0,2.01,26.24
2020-08-28,33.19,14.72,0.0,2.75,26.35
